episode,timestep,reward
1,400,130.7217
3,800,119.5801
8,1200,-20.492
14,1600,-118.8068
21,2000,-118.4609
23,2400,123.814
25,2800,109.2917
27,3200,112.552
29,3600,184.9439
31,4000,125.2294
33,4400,128.181
35,4800,130.0131
37,5200,149.8088
39,5600,163.1099
42,6000,166.2338
44,6400,159.1537
46,6800,104.2059
49,7200,150.1898
51,7600,80.1408
53,8000,98.3064
55,8400,157.1573
57,8800,87.9639
59,9200,92.3118
61,9600,86.8351
63,10000,77.5066
66,10400,109.202
68,10800,81.7997
70,11200,107.7896
72,11600,92.1666
74,12000,95.1731
76,12400,140.7634
78,12800,79.6295
81,13200,165.6254
83,13600,105.0934
85,14000,90.1217
88,14400,111.2219
90,14800,122.9257
92,15200,106.6775
94,15600,86.8076
96,16000,86.0722
98,16400,81.7732
100,16800,84.6682
103,17200,173.5443
105,17600,74.5927
107,18000,91.4978
109,18400,74.4444
111,18800,106.9057
113,19200,93.0247
115,19600,124.9643
117,20000,119.018
119,20400,130.0492
121,20800,100.8732
123,21200,85.3264
126,21600,130.7175
128,22000,100.2071
130,22400,77.2968
132,22800,103.6047
134,23200,87.2762
136,23600,87.7524
138,24000,78.904
141,24400,166.5841
143,24800,93.6471
145,25200,74.8907
147,25600,108.0313
149,26000,81.1426
151,26400,75.8644
153,26800,82.1381
155,27200,110.0052
157,27600,130.7392
159,28000,107.6659
161,28400,93.2986
163,28800,139.3281
